,flight_id,cluster
0,1,0
1,2,0
2,3,1
3,4,0
4,5,-1
5,6,-1
6,7,0
7,8,-1
8,9,1
9,10,-1
10,11,1
11,12,1
12,13,-1
13,14,-1
14,15,2
15,16,3
16,17,2
17,18,3
18,19,3
19,20,2
20,21,-1
21,22,4
22,23,4
23,24,4
24,25,4
25,26,4
26,27,5
27,28,5
28,29,5
29,30,5
30,31,5
31,32,5
32,33,5
33,34,5
34,35,2
35,36,2
36,37,2
